iter	Passed	Remaining
0	2	199
1	3	169
2	4	155
3	5	137
4	6	129
5	7	123
6	9	120
7	10	118
8	11	115
9	12	112
10	13	111
11	14	109
12	16	107
13	17	110
14	19	108
15	20	106
16	21	104
17	22	102
18	23	100
19	24	98
20	25	97
21	27	95
22	28	94
23	29	92
24	31	93
25	32	92
26	33	91
27	35	90
28	36	88
29	37	87
30	38	85
31	39	84
32	40	82
33	41	81
34	42	79
35	44	78
36	46	78
37	48	78
38	49	76
39	50	75
40	51	73
41	51	71
42	52	70
43	54	68
44	55	67
45	56	66
46	57	65
47	58	63
48	59	62
49	61	61
50	62	60
51	64	59
52	65	57
53	66	56
54	67	54
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	74	47
61	76	47
62	78	45
63	79	44
64	80	43
65	81	41
66	82	40
67	83	39
68	84	38
69	86	36
70	87	35
71	88	34
72	89	33
73	91	32
74	92	30
75	93	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	100	22
82	101	20
83	102	19
84	103	18
85	106	17
86	107	16
87	108	14
88	109	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	120	2
98	121	1
99	123	0
